scheme,scene,link,metric,participants_n,median,q1,q3,minimum,maximum,sum
GC_filtered,street,PC<->VR 状态同步,retained_pct,10,100.0000000000,100.0000000000,100.0000000000,100.0000000000,100.0000000000,1000.0000000000
GC_filtered,street,PC<->VR 状态同步,gc_valid_excluded_n,10,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
GC_filtered,street,PC<->VR 状态同步,gc_window_all_n,10,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
GC_filtered,street,PC<->VR 状态同步,invalid_all_n,10,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
GC_retained,street,PC<->VR 状态同步,median_ms,10,29.8650000000,29.1900000000,31.2525000000,27.4800000000,32.4300000000,299.6900000000
GC_retained,street,PC<->VR 状态同步,p95_ms,10,36.5550000000,35.2025000000,38.1225000000,33.6800000000,42.2100000000,368.6970000000
GC_retained,street,PC<->VR 状态同步,p99_ms,10,39.3405000000,37.6432250000,42.5475000000,35.5100000000,45.4800000000,401.4439000000
GC_retained,street,PC<->VR 状态同步,max_ms,10,42.8300000000,41.1950000000,47.1375000000,40.1400000000,56.4300000000,453.8400000000
GC_retained,street,PC<->VR 状态同步,gt50_pct,10,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.5026006662,0.8456239221
GC_retained,street,PC<->VR 状态同步,retained_pct,10,100.0000000000,100.0000000000,100.0000000000,100.0000000000,100.0000000000,1000.0000000000
GC_retained,street,PC<->VR 状态同步,gc_valid_excluded_n,10,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
GC_retained,street,PC<->VR 状态同步,gc_window_all_n,10,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
GC_retained,street,PC<->VR 状态同步,invalid_all_n,10,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
