scene,link,bin_seconds,participant,elapsed_s,latency_ms,q1_ms,q3_ms,n_available
supermarket,EyeTracking→PC,1,P2,25.500000,2.285000,,,1
supermarket,EyeTracking→PC,1,P2,26.500000,2.240000,,,1
supermarket,EyeTracking→PC,1,P2,27.500000,2.260000,,,1
supermarket,EyeTracking→PC,1,P2,28.500000,2.340000,,,1
supermarket,EyeTracking→PC,1,P2,29.500000,2.170000,,,1
supermarket,EyeTracking→PC,1,P2,30.500000,2.215000,,,1
supermarket,EyeTracking→PC,1,P2,31.500000,2.110000,,,1
supermarket,EyeTracking→PC,1,P2,32.500000,2.190000,,,1
supermarket,EyeTracking→PC,1,P2,33.500000,2.025000,,,1
supermarket,EyeTracking→PC,1,P2,34.500000,1.905000,,,1
supermarket,EyeTracking→PC,1,P2,35.500000,1.915000,,,1
supermarket,EyeTracking→PC,1,P2,36.500000,1.965000,,,1
supermarket,EyeTracking→PC,1,P2,37.500000,1.910000,,,1
supermarket,EyeTracking→PC,1,P2,38.500000,1.870000,,,1
supermarket,EyeTracking→PC,1,P2,39.500000,1.920000,,,1
supermarket,EyeTracking→PC,1,P2,40.500000,2.260000,,,1
supermarket,EyeTracking→PC,1,P2,41.500000,2.390000,,,1
supermarket,EyeTracking→PC,1,P2,42.500000,2.260000,,,1
supermarket,EyeTracking→PC,1,P2,43.500000,2.200000,,,1
supermarket,EyeTracking→PC,1,P2,44.500000,2.195000,,,1
supermarket,EyeTracking→PC,1,P2,45.500000,2.255000,,,1
supermarket,EyeTracking→PC,1,P2,46.500000,2.140000,,,1
supermarket,EyeTracking→PC,1,P2,47.500000,2.140000,,,1
supermarket,EyeTracking→PC,1,P2,48.500000,2.170000,,,1
supermarket,EyeTracking→PC,1,P2,49.500000,2.175000,,,1
supermarket,EyeTracking→PC,1,P2,50.500000,2.545000,,,1
supermarket,EyeTracking→PC,1,P2,51.500000,2.540000,,,1
supermarket,EyeTracking→PC,1,P2,52.500000,2.500000,,,1
supermarket,EyeTracking→PC,1,P2,53.500000,2.550000,,,1
supermarket,EyeTracking→PC,1,P2,54.500000,2.330000,,,1
supermarket,EyeTracking→PC,1,P2,55.500000,2.330000,,,1
supermarket,EyeTracking→PC,1,P2,56.500000,2.330000,,,1
supermarket,EyeTracking→PC,1,P2,57.500000,2.240000,,,1
supermarket,EyeTracking→PC,1,P2,58.500000,2.280000,,,1
supermarket,EyeTracking→PC,1,P2,59.500000,2.290000,,,1
supermarket,EyeTracking→PC,1,P2,60.500000,2.275000,,,1
supermarket,EyeTracking→PC,1,P2,61.500000,2.125000,,,1
supermarket,EyeTracking→PC,1,P2,62.500000,2.040000,,,1
supermarket,EyeTracking→PC,1,P2,63.500000,2.190000,,,1
supermarket,EyeTracking→PC,1,P2,64.500000,2.160000,,,1
supermarket,EyeTracking→PC,1,P2,65.500000,2.060000,,,1
supermarket,EyeTracking→PC,1,P2,66.500000,1.985000,,,1
supermarket,EyeTracking→PC,1,P2,67.500000,1.990000,,,1
supermarket,EyeTracking→PC,1,P2,68.500000,1.900000,,,1
supermarket,EyeTracking→PC,1,P2,69.500000,2.000000,,,1
supermarket,EyeTracking→PC,1,P2,70.500000,2.345000,,,1
supermarket,EyeTracking→PC,1,P2,71.500000,2.390000,,,1
supermarket,EyeTracking→PC,1,P2,72.500000,2.320000,,,1
supermarket,EyeTracking→PC,1,P2,73.500000,2.290000,,,1
