序号,采集时间,发出时间,链路,延迟(毫秒),抖动(毫秒),丢包率(%),最小延迟,最大延迟,中位延迟,95百分位延迟,99百分位延迟,帧到达延迟,帧间隔（毫秒）,丢帧率(%),测量类型,时钟同步有效,时钟同步状态,时钟偏移(毫秒),同步RTT(毫秒),同步年龄(毫秒),偏移不确定度上界(毫秒),同步样本数
61,2026-08-21 09:50:57.007,2026-08-21 09:50:57.004,MoCap→PC,7.04,0.30,0.00,5.17,9.52,7.32,8.62,9.36,7.04,11.00,0.00,,false,,0.000,0.000,0.0,0.000,0
62,2026-08-21 09:50:57.007,2026-08-21 09:50:56.994,EyeTracking→PC,13.12,0.48,0.00,2.31,22.28,7.24,19.87,22.01,13.12,10.00,0.00,Estimated VR->PC one-way delay,true,Ready,-55262.604,5.453,41.0,3.264,7
63,2026-08-21 09:50:57.007,2026-08-21 09:50:57.004,EyeTracking→PC,3.13,0.48,0.00,2.31,22.28,7.13,19.69,22.00,3.13,10.00,0.00,Estimated VR->PC one-way delay,true,Ready,-55262.604,5.453,41.1,3.264,7
64,2026-08-21 09:50:57.018,2026-08-21 09:50:57.015,MoCap→PC,7.30,0.30,0.00,5.17,9.52,7.32,8.62,9.36,7.30,11.00,0.00,,false,,0.000,0.000,0.0,0.000,0
65,2026-08-21 09:50:57.029,2026-08-21 09:50:57.027,MoCap→PC,6.42,0.36,0.00,5.17,9.52,7.31,8.62,9.36,6.42,12.00,0.00,,false,,0.000,0.000,0.0,0.000,0
66,2026-08-21 09:50:57.032,2026-08-21 09:50:57.015,EyeTracking→PC,16.65,0.48,0.00,2.31,22.28,7.24,19.50,21.99,16.65,11.00,0.00,Estimated VR->PC one-way delay,true,Ready,-55262.604,5.453,65.6,3.264,7
67,2026-08-21 09:50:57.032,2026-08-21 09:50:57.025,EyeTracking→PC,6.66,0.48,0.00,2.31,22.28,7.13,19.32,21.99,6.66,10.00,0.00,Estimated VR->PC one-way delay,true,Ready,-55262.604,5.453,65.7,3.264,7
68,2026-08-21 09:50:57.033,2026-08-21 09:50:56.995,PC<->VR 状态同步,38.38,0.23,0.00,38.03,38.93,38.38,38.93,38.93,-1.00,-1.00,-1.00,Mirror RTT,true,Not required,-55262.604,5.453,66.2,3.264,7
69,2026-08-21 09:50:57.040,2026-08-21 09:50:57.038,MoCap→PC,7.32,0.36,0.00,5.17,9.52,7.32,8.62,9.36,7.32,11.00,0.00,,false,,0.000,0.000,0.0,0.000,0
70,2026-08-21 09:50:57.044,2026-08-21 09:50:57.006,PC<->VR 状态同步,38.38,0.24,0.00,38.03,38.93,38.38,38.93,38.93,-1.00,-1.00,-1.00,Mirror RTT,true,Not required,-55262.604,5.453,77.1,3.264,7
