frame,time_from_origin_s,centroid_x_m,centroid_y_m,centroid_z_m,valid
309,3.433333,-0.022387,0.862292,1.040247,1
310,3.444444,-0.022197,0.862261,1.040215,1
311,3.455556,-0.022115,0.862250,1.040246,1
312,3.466667,-0.021987,0.862262,1.040191,1
313,3.477778,-0.021916,0.862244,1.040178,1
314,3.488889,-0.021807,0.862248,1.040179,1
315,3.500000,-0.021727,0.862277,1.040054,1
316,3.511111,-0.021612,0.862306,1.039989,1
317,3.522222,-0.021513,0.862304,1.039931,1
318,3.533333,-0.021342,0.862355,1.039888,1
319,3.544444,-0.021270,0.862372,1.039856,1
320,3.555556,-0.021172,0.862376,1.039876,1
321,3.566667,-0.021111,0.862387,1.039843,1
322,3.577778,-0.021004,0.862424,1.039813,1
323,3.588889,-0.020948,0.862430,1.039805,1
324,3.600000,-0.020791,0.862495,1.039825,1
325,3.611111,-0.020686,0.862476,1.039846,1
326,3.622222,-0.020594,0.862464,1.039868,1
327,3.633333,-0.020525,0.862452,1.039869,1
328,3.644444,-0.020466,0.862483,1.039889,1
329,3.655556,-0.020410,0.862488,1.039906,1
330,3.666667,-0.020372,0.862476,1.039953,1
331,3.677778,-0.020322,0.862431,1.040025,1
332,3.688889,-0.020275,0.862464,1.040011,1
333,3.700000,-0.020150,0.862494,1.040055,1
334,3.711111,-0.020105,0.862501,1.040089,1
335,3.722222,-0.020019,0.862522,1.040151,1
336,3.733333,-0.019961,0.862506,1.040189,1
337,3.744444,-0.019902,0.862509,1.040238,1
338,3.755556,-0.019858,0.862474,1.040285,1
339,3.766667,-0.019788,0.862468,1.040351,1
340,3.777778,-0.019748,0.862489,1.040406,1
341,3.788889,-0.019701,0.862460,1.040448,1
342,3.800000,-0.019656,0.862481,1.040506,1
343,3.811111,-0.019599,0.862430,1.040566,1
344,3.822222,-0.019547,0.862440,1.040647,1
345,3.833333,-0.019509,0.862411,1.040661,1
346,3.844444,-0.019459,0.862410,1.040663,1
347,3.855556,-0.019447,0.862419,1.040704,1
348,3.866667,-0.019410,0.862413,1.040716,1
349,3.877778,-0.019328,0.862452,1.040792,1
350,3.888889,-0.019289,0.862474,1.040787,1
351,3.900000,-0.019283,0.862409,1.040729,1
352,3.911111,-0.019293,0.862442,1.040792,1
353,3.922222,-0.019284,0.862444,1.040789,1
354,3.933333,-0.019310,0.862443,1.040769,1
355,3.944444,-0.019311,0.862410,1.040754,1
356,3.955556,-0.019313,0.862444,1.040756,1
357,3.966667,-0.019328,0.862402,1.040750,1
358,3.977778,-0.019356,0.862404,1.040731,1
359,3.988889,-0.019396,0.862437,1.040676,1
360,4.000000,-0.019437,0.862451,1.040621,1
361,4.011111,-0.019444,0.862460,1.040640,1
362,4.022222,-0.019474,0.862492,1.040644,1
363,4.033333,-0.019534,0.862474,1.040557,1
364,4.044444,-0.019555,0.862496,1.040567,1
365,4.055556,-0.019631,0.862500,1.040568,1
366,4.066667,-0.019699,0.862508,1.040544,1
367,4.077778,-0.019715,0.862505,1.040516,1
368,4.088889,-0.019798,0.862491,1.040452,1
369,4.100000,-0.019839,0.862512,1.040465,1
370,4.111111,-0.019887,0.862522,1.040420,1
371,4.122222,-0.019944,0.862512,1.040369,1
372,4.133333,-0.020010,0.862522,1.040392,1
373,4.144444,-0.020056,0.862513,1.040393,1
374,4.155556,-0.020108,0.862521,1.040381,1
375,4.166667,-0.020140,0.862517,1.040379,1
376,4.177778,-0.020217,0.862471,1.040380,1
377,4.188889,-0.020258,0.862449,1.040380,1
378,4.200000,-0.020314,0.862442,1.040416,1
379,4.211111,-0.020375,0.862426,1.040449,1
380,4.222222,-0.020428,0.862388,1.040477,1
381,4.233333,-0.020480,0.862402,1.040530,1
382,4.244444,-0.020522,0.862393,1.040585,1
383,4.255556,-0.020592,0.862408,1.040634,1
384,4.266667,-0.020642,0.862403,1.040684,1
385,4.277778,-0.020685,0.862419,1.040751,1
386,4.288889,-0.020754,0.862388,1.040806,1
387,4.300000,-0.020778,0.862385,1.040888,1
388,4.311111,-0.020834,0.862360,1.040965,1
389,4.322222,-0.020889,0.862355,1.041062,1
390,4.333333,-0.020931,0.862322,1.041150,1
391,4.344444,-0.021015,0.862321,1.041235,1
392,4.355556,-0.021096,0.862292,1.041317,1
393,4.366667,-0.021174,0.862287,1.041424,1
394,4.377778,-0.021223,0.862264,1.041518,1
395,4.388889,-0.021261,0.862267,1.041592,1
396,4.400000,-0.021282,0.862250,1.041703,1
397,4.411111,-0.021313,0.862254,1.041819,1
398,4.422222,-0.021295,0.862246,1.041918,1
399,4.433333,-0.021380,0.862218,1.042039,1
400,4.444444,-0.021371,0.862203,1.042111,1
401,4.455556,-0.021400,0.862183,1.042198,1
402,4.466667,-0.021415,0.862157,1.042311,1
403,4.477778,-0.021485,0.862167,1.042399,1
404,4.488889,-0.021547,0.862171,1.042480,1
405,4.500000,-0.021570,0.862180,1.042584,1
406,4.511111,-0.021554,0.862234,1.042660,1
