participant,scene,source,event_id,elapsed_s,nearest_heuristic_delta_ms
P8,street,direct_log,4,53.4190000000,3.9990000000
P8,street,direct_log,5,67.8600000000,6.0000000000
P8,street,direct_log,6,81.8660000000,4.5000000000
P8,street,direct_log,7,95.8340000000,5.0000000000
P8,street,direct_log,8,109.8390000000,7.9990000000
P8,street,direct_log,9,123.8530000000,6.5000000000
P8,street,direct_log,10,137.8960000000,3.0000000000
P8,street,direct_log,11,152.0480000000,5.0000000000
P8,street,direct_log,12,166.0190000000,5.5000000000
P8,street,direct_log,13,180.0780000000,5.9990000000
P8,street,direct_log,14,194.0940000000,8.0000000000
P8,street,direct_log,15,208.0610000000,6.5000000000
P8,street,direct_log,16,222.0820000000,4.5000000000
P8,street,direct_log,17,236.0940000000,5.0000000000
P8,street,direct_log,18,250.0680000000,7.9990000000
P8,street,direct_log,19,264.1280000000,8.4990000000
P8,street,direct_log,20,278.2210000000,6.5000000000
P8,street,direct_log,21,292.3460000000,5.0000000000
P9,supermarket,direct_log,1,15.0390000000,9.4990000000
P9,supermarket,direct_log,2,43.9960000000,7.4990000000
P9,supermarket,direct_log,3,72.8650000000,4.9990000000
P9,supermarket,direct_log,4,101.9260000000,7.0000000000
P9,supermarket,direct_log,5,130.4650000000,0.5010000000
P9,supermarket,direct_log,6,159.1360000000,6.9990000000
P9,supermarket,direct_log,7,187.8840000000,7.4990000000
P9,supermarket,direct_log,8,216.5270000000,8.0000000000
P9,supermarket,direct_log,9,245.0930000000,7.0000000000
P9,supermarket,direct_log,10,273.8610000000,8.4990000000
P9,street,direct_log,1,13.1610000000,8.0000000000
P9,street,direct_log,2,41.9990000000,5.5000000000
P9,street,direct_log,3,70.0620000000,13.0000000000
P9,street,direct_log,4,98.4390000000,6.4990000000
P9,street,direct_log,5,126.3830000000,7.4990000000
P9,street,direct_log,6,155.2890000000,7.0000000000
P9,street,direct_log,7,184.2940000000,9.0000000000
P9,street,direct_log,8,212.6420000000,6.4990000000
P9,street,direct_log,9,241.1650000000,5.4990000000
P9,street,direct_log,10,269.9620000000,9.9990000000
P9,street,direct_log,11,298.6250000000,7.0000000000
P10,supermarket,direct_log,1,16.3980000000,8.5000000000
P10,supermarket,direct_log,2,50.0990000000,16.5000000000
P10,supermarket,direct_log,3,83.7890000000,8.4990000000
P10,supermarket,direct_log,4,117.4930000000,9.4990000000
P10,supermarket,direct_log,5,150.9150000000,8.5000000000
P10,supermarket,direct_log,6,184.5490000000,7.5000000000
P10,supermarket,direct_log,7,218.1250000000,7.0000000000
P10,supermarket,direct_log,8,252.2560000000,4.9990000000
P10,supermarket,direct_log,9,285.8130000000,6.5000000000
P10,street,direct_log,1,0.7880000000,8.4990000000
P10,street,direct_log,2,40.4230000000,6.9990000000
P10,street,direct_log,3,80.0850000000,7.0000000000
P10,street,direct_log,4,120.6750000000,6.4990000000
P10,street,direct_log,5,161.5890000000,8.9990000000
P10,street,direct_log,6,202.4300000000,6.4990000000
P10,street,direct_log,7,242.8760000000,6.5000000000
P10,street,direct_log,8,283.6800000000,7.0000000000
